Workspace_ID,Project_Type,Workspace_Region,Opportunity_ID
25767465,Other Admin,N/A,N/A
25776405,Billable,North America,0062J00000ni6z5QAA
25801455,Billable,North America,0062J00000ni3hGQAQ
25923595,Billable,North America,0062J00000niGOQQA2
25948355,Billable,North America,0062J00000mrOj6QAE
25984685,Billable,North America,0062J00000nhv8QQAQ
26024275,Billable,North America,0062J00000niVYOQA2
26178095,Billable,North America,0062J00000lfjAkQAI
26346495,Billable,EMEA,0062J00000nipAzQAI
26398065,Billable,North America,0062J00000ni9jCQAQ
26399125,Billable,North America,0062J00000niv3TQAQ
26432715,Billable,EMEA,0062J00000nioyyQAA
26439805,Billable,North America,0062J00000niWDHQA2
26466395,Billable,North America,0062J00000mpEIgQAM
26490235,Billable,North America,0062J00000niizoQAA
26495475,Billable,APAC,0062J00000ni2smQAA
26554635,Billable,North America,0062J00000nj18RQAQ
26590175,Billable,North America,0062J00000mrTFhQAM
26608545,Billable,North America,0062J00000nKRfEQAW
26679355,Billable,APAC,0062J00000lffsJQAQ
26745185,Other Admin,N/A,N/A
26790855,Billable,EMEA,0062J00000nKhq3QAC
26828145,Billable,North America,0062J00000nj4P2QAI
26828475,Billable,North America,0062J00000nj4UvQAI
26847935,Billable,EMEA,0062J00000nKq4wQAC
26908295,Billable,North America,0062J00000niSIXQA2
26928385,Billable,North America,0062J00000nKmvaQAC
26961575,Billable,North America,0062J00000nKm3dQAC
26964995,Billable,APAC,0062J00000niomYQAQ
26967115,Billable,EMEA,0062J00000nixYjQAI
26971615,Billable,North America,0062J00000opHXSQA2
27004375,Billable,North America,0062J00000nKfSJQA0
27071105,Billable,North America,0062J00000lKRacQAG
27090775,Billable,North America,0062J00000nLCfTQAW
27104345,Billable,APAC,0062J00000nKb6zQAC
27117845,Billable,North America,0062J00000nL52zQAC
27270635,Billable,EMEA,0062J00000nLPTzQAO
27279575,Billable,North America,0062J00000lKNOnQAO
27326125,Billable,North America,0062J00000m65y2QAA
27326805,Billable,APAC,0062J00000nLWJ0QAO
27342885,Billable,APAC,0062J00000nj0GnQAI
27353575,Billable,North America,0062J00000ntctIQAQ
27353625,Billable,North America,0062J00000nj00pQAA
27371635,Billable,North America,0062J00000nLc4bQAC
27405495,Billable,APAC,0062J00000nKwFnQAK
27448865,Billable,North America,0062J00000nLfg2QAC
27457495,Billable,North America,0062J00000nVER0QAO
27460185,Billable,North America,0065000000gaEgYAAU
27462675,Billable,EMEA,0065000000jwdmpAAA
27536715,Billable,APAC,0062J00000nLWHnQAO
27579955,Billable,North America,0062J00000nKgpnQAC
27598425,Billable,EMEA,0062J00000nKfKfQAK
27709675,Billable,N/A,N/A
27774165,Billable,APAC,0062J00000nMD8iQAG
27793535,Billable,APAC,0062J00000nM9WgQAK
27821335,Billable,North America,0062J00000ni5dhQAA
27832695,Billable,North America,0062J00000nKsT8QAK
27833345,Billable,North America,0062J00000nLUeAQAW
27856185,Billable,EMEA,0062J00000nLTY6QAO
27894285,Billable,North America,0062J00000nMN0uQAG
27910235,Billable,APAC,0065000000kcGCTAA2
27910275,Billable,APAC,0062J00000opneyQAA
27916115,Billable,North America,0062J00000nMCnpQAG
27926175,Billable,North America,0062J00000nMMv6QAG
27940075,Billable,APAC,0062J00000nLL6NQAW
27941755,Billable,North America,0062J00000nM6xFQAS
27971265,Billable,North America,0062J00000nMFx3QAG
27975675,Billable,North America,0062J00000nMORUQA4
28022495,Billable,APAC,0062J00000nuAZ8QAM
28047055,Billable,North America,0062J00000nMGPqQAO
28067175,Billable,EMEA,0062J00000nMPlLQAW
28079465,Other Admin,N/A,N/A
28103815,Billable,North America,0062J00000nir8CQAQ
28110715,Billable,North America,0062J00000nMFlbQAG
28111215,Billable,North America,0062J00000lfTUFQA2
28111555,Billable,North America,0062J00000nMUkrQAG
28118005,Billable,North America,0062J00000nMgGZQA0
28126515,Billable,APAC,0062J00000qEBo9QAG
28152215,Billable,APAC,0062J00000lKOeNQAW
28225885,Billable,APAC,0062J00000nLjUOQA0
28250845,Billable,APAC,0062J00000nLfsrQAC
28299155,Billable,APAC,0062J00000nMdiFQAS
28332695,Billable,APAC,0062J00000nMMiCQAW
28335545,Billable,North America,0062J00000on3maQAA
28341425,Billable,North America,0062J00000nLWArQAO
28355835,Billable,N/A,N/A
28362255,Billable,North America,0062J00000nLW4KQAW
28371015,Discretionary,N/A,N/A
28379635,Billable,APAC,0062J00000on82lQAA
28399805,Billable,North America,0065000000jPxecAAC
28400715,Billable,North America,0062J00000qPhAjQAK
28422375,Billable,APAC,0062J00000nLm17QAC
28461085,Billable,EMEA,0062J00000on3VtQAI
28464355,Billable,North America,0062J00000onCwdQAE
28466415,Billable,North America,0062J00000onDGLQA2
28484755,Billable,EMEA,0062J00000nipMHQAY
28510705,Billable,North America,0062J00000onEoTQAU
28512165,Billable,EMEA,0062J00000ompoMQAQ
28557395,Billable,North America,0062J00000on6MFQAY
28599665,Billable,EMEA,0062J00000nLULIQA4
28654605,Billable,North America,0062J00000nLmtYQAS
28655695,Billable,North America,0062J00000nLO7JQAW
28666425,Billable,APAC,0062J00000on09KQAQ
28674905,Billable,North America,0062J00000omuG5QAI
28705055,Billable,EMEA,0062J00000onW0wQAE
28739815,Billable,North America,0062J00000onKkmQAE
28768405,Billable,North America,0062J00000oneQiQAI
28797765,Billable,EMEA,0062J00000onUdCQAU
28814795,Billable,EMEA,0062J00000nMg0gQAC
28821135,Billable,North America,0062J00000nMRWwQAO
28824995,Billable,North America,0062J00000oneJSQAY
28832665,Billable,APAC,0062J00000nLFjYQAW
28836045,Billable,EMEA,0062J00000onWJDQA2
28836115,Billable,EMEA,0062J00000on73JQAQ
28845665,Billable,North America,0062J00000onT7SQAU
28850015,Billable,EMEA,0062J00000onjOiQAI
28856455,Billable,EMEA,0062J00000onGw0QAE
28863305,Billable,North America,0062J00000nMLkCQAW
28863475,Billable,APAC,0062J00000nKn9SQAS
28892175,Billable,EMEA,0062J00000on8nBQAQ
28910845,Billable,APAC,0062J00000onEsfQAE
28915365,Billable,Latin America,0062J00000onMy3QAE
28918185,Billable,North America,0062J00000ni6eCQAQ
28921565,Billable,EMEA,0062J00000qEwWyQAK
28928245,Billable,APAC,0062J00000qEmPYQA0
28929805,Billable,North America,0062J00000nLmDDQA0
28939295,Billable,EMEA,0062J00000oqM1aQAE
28941445,Billable,North America,0062J00000on5oPQAQ
28942285,Billable,North America,0062J00000omy32QAA
28944195,Billable,North America,0062J00000nMgMhQAK
28945155,Billable,North America,0062J00000onwRZQAY
28953845,Billable,APAC,0062J00000onxC1QAI
28965395,Billable,EMEA,0062J00000onyQiQAI
28972315,Billable,APAC,0062J00000on8KEQAY
28972935,Other Admin,APAC,0062J00000onywtQAA
28987345,Billable,North America,0062J00000onsZlQAI
28989765,Billable,North America,0062J00000onRs9QAE
28989905,Billable,Latin America,0062J00000oo0SWQAY
29008105,Billable,North America,0062J00000oo30OQAQ
29110375,Billable,APAC,0062J00000nM9ceQAC
29110825,Billable,APAC,0062J00000nMZcPQAW
29143865,Billable,North America,0062J00000nKtoAQAS
29183175,Discretionary,N/A,N/A
29216175,Billable,North America,0062J00000onq5tQAA
29225935,Billable,North America,0062J00000ooAG9QAM
29302465,Billable,EMEA,0062J00000on3WcQAI
29355205,Billable,North America,0062J00000nMQdSQAW
29392375,Billable,APAC,0062J00000ondCVQAY
29399805,Other Admin,N/A,N/A
29417655,Billable,North America,0062J00000ooQVLQA2
29434885,Billable,North America,0062J00000ooPPRQA2
29437255,Billable,North America,0062J00000oo029QAA
29465835,Other Admin,N/A,N/A
29473785,Billable,North America,0062J00000on3HSQAY
29475615,Billable,APAC,0062J00000onjCSQAY
29477995,Billable,EMEA,0062J00000ooTYYQA2
29481755,Billable,APAC,0062J00000onNHKQA2
29484385,Billable,North America,0062J00000onmgbQAA
29510665,Billable,APAC,0062J00000nL2QzQAK
29510695,Billable,EMEA,0062J00000ooHDaQAM
29523095,Billable,North America,0062J00000niq0bQAA
29531275,Billable,North America,0062J00000ooWe5QAE
29544015,Billable,North America,0062J00000onXeuQAE
29562175,Billable,EMEA,0062J00000oocMZQAY
29567215,Billable,North America,0062J00000q92IFQAY
29600725,Billable,North America,0062J00000nLx70QAC
29622325,Billable,APAC,0062J00000ooUuGQAU
29667475,Billable,North America,0062J00000omtbMQAQ
29691975,Billable,North America,0062J00000oojSQQAY
29729435,Billable,APAC,0062J00000nhnoxQAA
29739235,Billable,North America,0062J00000ooqhQQAQ
29748845,Billable,APAC,0062J00000onBqjQAE
29789565,Billable,North America,0062J00000ooxGyQAI
29802285,Billable,North America,0062J00000oopHlQAI
29827855,Billable,North America,0062J00000onDtXQAU
29843355,Billable,North America,0062J00000op0vzQAA
29854855,Billable,APAC,0062J00000ooWotQAE
29860445,Billable,North America,0062J00000oouhlQAA
29865305,Billable,North America,0062J00000nKsvvQAC
29876955,Billable,North America,0062J00000nLLvBQAW
29907775,Billable,EMEA,N/A
29909325,Billable,North America,0062J00000ooKigQAE
29969695,Billable,APAC,0062J00000oov6rQAA
29973505,Billable,Latin America,0062J00000nKv0lQAC
29991525,Billable,APAC,0062J00000nu0mtQAA
29993505,Billable,APAC,0062J00000opJqzQAE
30005105,Other Admin,N/A,N/A
30036765,Billable,EMEA,0062J00000omoClQAI
30040895,Billable,North America,0062J00000ooo5UQAQ
30068715,Billable,North America,0062J00000op1coQAA
30070815,Billable,North America,0062J00000opNJTQA2
30073065,Billable,North America,0062J00000opRyzQAE
30080055,Billable,North America,0062J00000opFtQQAU
30083175,Billable,North America,0062J00000nsi1rQAA
30089835,Billable,Latin America,0062J00000opUmIQAU
30091325,Billable,North America,0062J00000nLlDHQA0
30094735,Billable,EMEA,0062J00000op0dbQAA
30100145,Billable,North America,0062J00000opXSpQAM
30111005,Billable,APAC,0062J00000onhlkQAA
30129505,Non-Discretionary,N/A,N/A
30139765,Billable,North America,0062J00000onewKQAQ
30142245,Discretionary,N/A,N/A
30145665,Billable,EMEA,0062J00000nMHm7QAG
30177585,Billable,North America,0062J00000opg0wQAA
30177625,Billable,EMEA,0062J00000oopwZQAQ
30186235,Billable,North America,0062J00000nMaktQAC
30197025,Billable,North America,0062J00000opi2fQAA
30198605,Discretionary,N/A,N/A
30210115,Billable,North America,0062J00000op6ayQAA
30210755,Billable,North America,0062J00000ntGbKQAU
30213655,Discretionary,N/A,N/A
30213795,Discretionary,N/A,N/A
30214075,Discretionary,N/A,N/A
30214475,Discretionary,N/A,N/A
30214695,Discretionary,N/A,N/A
30214815,Discretionary,N/A,N/A
30214895,Discretionary,N/A,N/A
30215015,Other Admin,N/A,N/A
30217015,Billable,North America,0062J00000opFxXQAU
30221475,Billable,APAC,0062J00000qGNXUQA4
30232815,Billable,North America,0062J00000opl0SQAQ
30235575,Billable,APAC,0062J00000opJriQAE
30243555,Billable,North America,0062J00000opcLlQAI
30244075,Billable,North America,0062J00000opTJZQA2
30252905,Billable,APAC,0062J00000opnYaQAI
30254125,Billable,N/A,N/A
30257385,Billable,North America,0062J00000oovwiQAA
30260075,Billable,North America,0062J00000opoPCQAY
30261025,Billable,North America,0062J00000opoU2QAI
30263565,Discretionary,N/A,N/A
30265545,Billable,North America,0062J00000opLeAQAU
30266435,Billable,North America,0062J00000opopUQAQ
30267435,Billable,North America,0062J00000opowBQAQ
30268945,Billable,APAC,0062J00000opncNQAQ
30271905,Billable,EMEA,0062J00000oppNCQAY
30274325,Billable,North America,0062J00000oppbmQAA
30277675,Billable,North America,0062J00000op1SKQAY
30299725,Billable,APAC,0062J00000onErNQAU
30307485,Billable,APAC,0062J00000nKpUOQA0
30308315,Billable,APAC,0062J00000opLlBQAU
30318325,Billable,North America,0062J00000omsTsQAI
30318695,Billable,North America,0062J00000nVA6kQAG
30320385,Billable,North America,0062J00000optIqQAI
30322225,Billable,North America,0062J00000optT7QAI
30324055,Other Admin,N/A,N/A
30325445,Billable,APAC,0062J00000opbJEQAY
30334735,Billable,North America,0062J00000opu67QAA
30341355,Billable,APAC,0062J00000opv8zQAA
30341415,Billable,APAC,0062J00000opv9JQAQ
30344175,Billable,EMEA,0062J00000opFNZQA2
30350125,Billable,North America,0062J00000ope3WQAQ
30354295,Billable,North America,0062J00000opx1bQAA
30365385,Billable,North America,0062J00000opflwQAA
30379095,Billable,North America,0062J00000opJojQAE
30384155,Billable,North America,0062J00000ooFimQAE
30390495,Billable,APAC,0062J00000nLO8RQAW
30390605,Billable,APAC,0062J00000oq0PWQAY
30393025,Billable,APAC,0062J00000oq0X6QAI
30399185,Billable,North America,0062J00000oonSSQAY
30405975,Billable,North America,0062J00000oppNWQAY
30416655,Billable,North America,0062J00000opuP4QAI
30423295,Billable,North America,0062J00000oq3rgQAA
30425535,Billable,North America,0062J00000ooJIDQA2
30426485,Billable,North America,0062J00000ooawaQAA
30427495,Billable,North America,0062J00000omopYQAQ
30462355,Billable,APAC,0062J00000oq0TsQAI
30462605,Billable,APAC,0062J00000oq63vQAA
30502145,Billable,APAC,0062J00000oq8xWQAQ
30506845,Billable,EMEA,0062J00000op9UfQAI
30515105,Billable,North America,0062J00000oqAAgQAM
30518715,Billable,APAC,0062J00000opv2zQAA
30520675,Billable,EMEA,0062J00000oq7zCQAQ
30528375,Other Admin,Latin America,0062J00000qETfqQAG
30536375,Billable,EMEA,0062J00000oq2lWQAQ
30540275,Billable,North America,0062J00000oo9bGQAQ
30542035,Billable,North America,0062J00000oq24mQAA
30545665,Billable,North America,0062J00000ooFCHQA2
30547185,Billable,North America,0062J00000oqCewQAE
30548945,Billable,N/A,N/A
30555755,Billable,North America,0062J00000oqCn5QAE
30572675,Billable,North America,0062J00000oqAgyQAE
30585875,Billable,North America,0062J00000oojaFQAQ
30598445,Billable,EMEA,0062J00000oqHYkQAM
30602745,Billable,North America,0062J00000ooYXVQA2
30606365,Billable,North America,0062J00000oqIJRQA2
30607795,Billable,APAC,0062J00000ooCTPQA2
30608725,Billable,APAC,0062J00000oq6s6QAA
30629575,Billable,EMEA,0062J00000opwN2QAI
30639275,Other Admin,N/A,N/A
30644155,Billable,North America,0062J00000oqMJEQA2
30644425,Billable,North America,0062J00000oqA94QAE
30644445,Billable,North America,0062J00000oqLV4QAM
30644475,Billable,North America,0062J00000oqLVPQA2
30651775,Billable,North America,0062J00000oq8JgQAI
30657295,Billable,APAC,0062J00000opI8mQAE
30659655,Billable,N/A,N/A
30660865,Billable,EMEA,0062J00000lfj5zQAA
30664235,Billable,North America,0062J00000ops1TQAQ
30671865,Billable,APAC,0062J00000oqLmoQAE
30671905,Billable,APAC,0062J00000opnrcQAA
30688015,Billable,North America,0062J00000oqQfCQAU
30693475,Billable,EMEA,0062J00000opbl9QAA
30715925,Billable,North America,0062J00000oqSSCQA2
30720395,Billable,APAC,0062J00000opndGQAQ
30723605,Billable,N/A,N/A
30723635,Billable,N/A,N/A
30724435,Billable,North America,0062J00000ooOThQAM
30726065,Other Admin,N/A,N/A
30730335,Billable,North America,0062J00000oqQEaQAM
30730395,Billable,North America,0062J00000onPcFQAU
30732535,Billable,APAC,0062J00000niylFQAQ
30735575,Billable,North America,0062J00000oqU75QAE
30738855,Billable,North America,0062J00000nsd9zQAA
30758465,Other Admin,N/A,N/A
30762875,Billable,North America,0062J00000oqSWEQA2
30763085,Billable,North America,0062J00000nsfGqQAI
30785475,Billable,North America,0062J00000oqQIIQA2
30795545,Billable,North America,0062J00000nshstQAA
30809405,Discretionary,N/A,N/A
30834525,Billable,APAC,0062J00000nskOMQAY
30843935,Billable,North America,0062J00000oqK1mQAE
30854855,Billable,APAC,0062J00000nsmSTQAY
30854885,Billable,APAC,0062J00000oq7MjQAI
30854985,Billable,APAC,0062J00000nsmUPQAY
30858255,Billable,APAC,0062J00000qhfDmQAI
30869395,Billable,North America,0062J00000oozAJQAY
30877445,Billable,EMEA,0062J00000qF3ApQAK
30884845,Billable,North America,0062J00000nsougQAA
30886435,Billable,North America,0062J00000oq1HGQAY
30892205,Billable,EMEA,0062J00000opilVQAQ
30904485,Billable,North America,0062J00000nsqqrQAA
30905555,Billable,North America,0062J00000opJnlQAE
30935355,Billable,North America,0062J00000nsptqQAA
30942675,Billable,North America,0062J00000nsf3rQAA
30961935,Billable,APAC,0062J00000opvZMQAY
30966525,Billable,North America,0062J00000oqQCfQAM
30971255,Billable,North America,0062J00000nsv03QAA
30981365,Billable,APAC,0062J00000nsvrbQAA
30982545,Billable,EMEA,0062J00000nsw38QAA
30988935,Billable,North America,0062J00000nswSlQAI
30995735,Billable,North America,0062J00000nsxD3QAI
30998285,Billable,APAC,0062J00000opkGUQAY
30998525,Billable,APAC,0062J00000nsxU5QAI
30998875,Billable,APAC,0062J00000qEvRiQAK
31005915,Billable,North America,0062J00000nseBZQAY
31010335,Billable,EMEA,0062J00000nsx62QAA
31016735,Billable,APAC,0062J00000opJttQAE
31022125,Billable,North America,0062J00000nszUNQAY
31024285,Billable,EMEA,0062J00000oq7wNQAQ
31024445,Billable,EMEA,0062J00000oq7wmQAA
31031235,Billable,North America,0062J00000nssWvQAI
31032685,Billable,APAC,0062J00000nt0duQAA
31044445,Billable,North America,0062J00000oqE4QQAU
31047135,Billable,North America,0062J00000nsqk5QAA
31052565,Billable,APAC,0062J00000nt0bFQAQ
31052925,Billable,APAC,0062J00000nLspvQAC
31055335,Billable,EMEA,0062J00000omqAIQAY
31069045,Billable,North America,0062J00000nt3LFQAY
31077845,Billable,EMEA,0062J00000nsmbzQAA
31078775,Billable,North America,0062J00000nt46HQAQ
31079225,Billable,North America,0062J00000nt1VOQAY
31081975,Billable,North America,0062J00000oqHyPQAU
31084595,Billable,North America,0062J00000opQZCQA2
31094875,Billable,EMEA,0062J00000nt5hrQAA
31095405,Billable,EMEA,0062J00000opOvKQAU
31098415,Billable,North America,0062J00000oojqcQAA
31101485,Billable,N/A,N/A
31106705,Billable,North America,0062J00000opl9oQAA
31108075,Billable,APAC,0062J00000nsr4UQAQ
31115245,Billable,North America,0062J00000nswOUQAY
31115835,Billable,North America,0062J00000nt7bVQAQ
31122165,Billable,North America,0062J00000op1aYQAQ
31130915,Billable,North America,0062J00000oqHM5QAM
31138055,Billable,APAC,0062J00000nt2DgQAI
31163225,Billable,APAC,0062J00000nsr4yQAA
31164665,Billable,EMEA,0062J00000nssvzQAA
31203475,Billable,North America,0062J00000ntAi0QAE
31208955,Billable,North America,0062J00000nslAgQAI
31232645,Billable,North America,0062J00000ooh6CQAQ
31237855,Billable,North America,0062J00000nsdIoQAI
31293125,Billable,North America,0062J00000oqBuPQAU
31294365,Billable,North America,0062J00000nt8FfQAI
31294565,Billable,North America,0062J00000opiZoQAI
31298365,Billable,North America,0062J00000ntE8XQAU
31306275,Billable,North America,0062J00000ni6GyQAI
31308265,Billable,APAC,0062J00000ntBYVQA2
31309885,Billable,North America,0062J00000ntEEaQAM
31317965,Billable,North America,0062J00000nsnp6QAA
31321545,Billable,North America,0062J00000nsqtCQAQ
31325985,Billable,North America,0062J00000nsnvOQAQ
31352195,Billable,North America,0062J00000nt2e6QAA
31352995,Billable,EMEA,0062J00000nsxhTQAQ
31371535,Billable,EMEA,0062J00000oqSTeQAM
31372915,Billable,EMEA,0062J00000ntJK8QAM
31375195,Billable,North America,0062J00000ntJC9QAM
31377935,Billable,North America,0062J00000ntJtmQAE
31378065,Billable,North America,0062J00000ntJthQAE
31387975,Billable,APAC,0062J00000oqR5tQAE
31395095,Billable,North America,0062J00000nt9kVQAQ
31397115,Discretionary,N/A,N/A
31397255,Discretionary,N/A,N/A
31420765,Billable,EMEA,0062J00000ntAINQA2
31441315,Billable,North America,0062J00000nspznQAA
31443845,Billable,North America,0062J00000ntMuQQAU
31445405,Billable,EMEA,0062J00000ntH1SQAU
31445655,Billable,APAC,0062J00000oqSkLQAU
31455565,Billable,EMEA,0062J00000oqPpoQAE
31463135,Billable,North America,0062J00000ntNvmQAE
31465615,Billable,North America,0062J00000ntP8iQAE
31475645,Billable,EMEA,0062J00000opUIhQAM
31479305,Billable,North America,0062J00000ntLfRQAU
31480665,Billable,EMEA,0062J00000ntLr8QAE
31485835,Billable,North America,0062J00000ntAP4QAM
31498845,Billable,APAC,0062J00000nsz7NQAQ
31500075,Billable,APAC,0062J00000onUYqQAM
31511895,Billable,North America,0062J00000ooCCTQA2
31517985,Billable,North America,0062J00000oqEOPQA2
31518815,Billable,North America,0062J00000nse3aQAA
31520955,Billable,APAC,0062J00000nsu8fQAA
31523825,Billable,APAC,0062J00000nscijQAA
31523835,Billable,APAC,0062J00000nt9TyQAI
31531375,Billable,North America,0062J00000ntQklQAE
31538305,Billable,North America,0062J00000nKaI6QAK
31539615,Billable,North America,0062J00000ntU4cQAE
31541815,Billable,APAC,0062J00000ntUMdQAM
31559045,Discretionary,N/A,N/A
31559705,Billable,N/A,N/A
31582685,Billable,EMEA,0062J00000nL18eQAC
31612785,Billable,EMEA,0062J00000ntT9KQAU
31613125,Billable,EMEA,0062J00000nt5uqQAA
31613205,Billable,EMEA,0062J00000ntXKCQA2
31613335,Billable,EMEA,0062J00000nt5vjQAA
31614585,Billable,APAC,0062J00000ootI1QAI
31619005,Billable,North America,0062J00000nt2XqQAI
31626725,Billable,EMEA,0062J00000oq7yYQAQ
31638975,Billable,North America,0062J00000ntYYyQAM
31641035,Billable,North America,0062J00000ntPtNQAU
31642455,Billable,EMEA,0062J00000ntIp8QAE
31643665,Billable,North America,0062J00000nt41WQAQ
31659995,Billable,North America,0062J00000niFPSQA2
31660475,Billable,EMEA,0062J00000nscxjQAA
31661975,Billable,North America,0062J00000ntSQiQAM
31662425,Billable,North America,0062J00000ntVTzQAM
31668275,Billable,North America,0062J00000ntclSQAQ
31669605,Billable,North America,0062J00000ntcu0QAA
31675765,Billable,EMEA,0062J00000nt79LQAQ
31685475,Billable,EMEA,0062J00000ntX94QAE
31690315,Billable,North America,0062J00000nt5lPQAQ
31690665,Billable,APAC,0062J00000nsxRQQAY
31691855,Billable,APAC,0062J00000ntBepQAE
31692025,Billable,APAC,0062J00000nssfdQAA
31693385,Billable,EMEA,0062J00000ntemUQAQ
31697485,Billable,EMEA,0062J00000nsiAnQAI
31704405,Billable,North America,0062J00000nsf2KQAQ
31711575,Billable,EMEA,0062J00000opoLZQAY
31715615,Billable,North America,0062J00000ntcSGQAY
31719355,Billable,North America,0062J00000oq1F5QAI
31723935,Billable,North America,0062J00000ntfjcQAA
31728285,Billable,APAC,0062J00000ntYdZQAU
31728535,Billable,North America,0062J00000ntfjXQAQ
31730475,Billable,APAC,0062J00000ntLjTQAU
31737075,Billable,North America,0062J00000nthJXQAY
31765455,Billable,North America,0062J00000ntjwyQAA
31769715,Billable,APAC,0062J00000oorPDQAY
31788965,Billable,North America,0062J00000nsk8OQAQ
31791335,Billable,APAC,0065000000jOiLRAA0
31795315,Billable,APAC,0062J00000ntVydQAE
31801745,Billable,North America,0062J00000ntnaTQAQ
31808375,Billable,North America,0062J00000ntoFGQAY
31809565,Billable,North America,0062J00000ntoKfQAI
31813595,Billable,APAC,0062J00000ntIOkQAM
31820605,Billable,North America,0062J00000oqTkSQAU
31822495,Billable,North America,0062J00000ntpDCQAY
31828645,Billable,North America,0062J00000opTE5QAM
31831485,Billable,North America,0062J00000ntmuEQAQ
31835045,Billable,North America,0062J00000oqDGpQAM
31835105,Billable,APAC,0062J00000ntbOXQAY
31835335,Billable,APAC,0062J00000ntbPzQAI
31840535,Billable,APAC,0062J00000oq0UbQAI
31844945,Billable,APAC,0062J00000opsFHQAY
31845035,Billable,APAC,0062J00000nteWWQAY
31845125,Billable,EMEA,0062J00000oothQQAQ
31847695,Billable,North America,0062J00000ntr0bQAA
31849005,Billable,EMEA,0062J00000ntNS6QAM
31856745,Billable,North America,0062J00000ntjyBQAQ
31858475,Billable,North America,0062J00000ntdoVQAQ
31858765,Billable,North America,0062J00000ntiNqQAI
31862395,Billable,North America,0062J00000ntEoaQAE
31862705,Billable,APAC,0062J00000ntBvCQAU
31863645,Billable,North America,0062J00000onGQOQA2
31864555,Billable,North America,0062J00000ntDkxQAE
31866285,Billable,North America,0062J00000nsyn1QAA
31877925,Billable,North America,0062J00000nskPtQAI
31880105,Billable,North America,0062J00000nt4nhQAA
31883505,Billable,North America,0062J00000nsycDQAQ
31885235,Billable,North America,0062J00000oo9bzQAA
31888795,Billable,North America,0062J00000ookqqQAA
31889945,Billable,APAC,0062J00000nttUiQAI
31891305,Billable,APAC,0062J00000nttW5QAI
31897045,Billable,North America,0062J00000ntkSpQAI
31911975,Billable,EMEA,0062J00000ooAsIQAU
31912215,Billable,EMEA,0062J00000nttzMQAQ
31933915,Billable,APAC,0062J00000ntbLdQAI
31934415,Billable,APAC,0062J00000nspQSQAY
31940385,Billable,EMEA,0062J00000ntwHqQAI
31951695,Billable,North America,0062J00000oplp6QAA
31959515,Billable,APAC,0062J00000opGYiQAM
31962025,Billable,EMEA,0062J00000nths4QAA
